fecha,agente,cat,componente,de_hrs,a_hrs,causa
2005-09-02,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-02,VHE,G,VHE02,00:00,16:56,Limitaciones en el suministro de gas
2005-09-02,VHE,G,VHE03,00:00,06:09,Limitaciones en el suministro de gas
2005-09-02,VHE,G,VHE04,00:00,06:32,Limitaciones en el suministro de gas
2005-09-02,COBEE,G,KEN01,00:00,09:00,Limitaciones en el suministro de gas
2005-09-02,COBEE,G,KEN01,15:56,24:00,Limitaciones en el suministro de gas
2005-09-02,COBEE,G,KEN02,08:32,09:00,Limitaciones en el suministro de gas
2005-09-02,COBEE,G,KEN02,15:56,24:00,Limitaciones en el suministro de gas
2005-09-02,VHE,G,VHE02,21:12,24:00,Limitaciones en el suministro de gas
2005-09-02,VHE,G,VHE04,22:49,24:00,Limitaciones en el suministro de gas
2005-09-01,VHE,G,VHE01,00:00,18:10,Limitaciones en el suministro de gas
2005-09-01,VHE,G,VHE02,00:00,10:08,Limitaciones en el suministro de gas
2005-09-01,VHE,G,VHE03,00:15,08:28,Limitaciones en el suministro de gas
2005-09-01,VHE,G,VHE04,00:00,06:51,Limitaciones en el suministro de gas
2005-09-01,COBEE,G,KEN01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-01,VHE,G,VHE01,20:11,24:00,Limitaciones en el suministro de gas
2005-09-01,VHE,G,VHE02,22:38,24:00,Limitaciones en el suministro de gas
2005-09-01,VHE,G,VHE03,23:44,24:00,Limitaciones en el suministro de gas
2005-09-01,VHE,G,VHE04,23:20,24:00,Limitaciones en el suministro de gas
2005-10-31,COBEE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-10-31,VHE,G,VHE03,00:00,24:00,Limitaciones en el suministro de gas
2005-10-31,COBEE,G,KEN02,00:00,24:00,Limitaciones en el suministro de gas
2005-10-30,VHE,G,VHE01,00:00,11:27,Limitaciones en el suministro de gas
2005-10-30,VHE,G,VHE03,00:00,11:27,Limitaciones en el suministro de gas
2005-10-30,COBEE,G,KEN01,00:00,24:00,Limitaciones en el suministro de gas
2005-10-29,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-10-29,VHE,G,VHE03,00:00,24:00,Limitaciones en el suministro de gas
2005-10-29,COBEE,G,KEN01,00:00,10:51,Limitaciones en el suministro de gas
2005-10-29,COBEE,G,KEN01,16:09,24:00,Limitaciones en el suministro de gas
2005-10-28,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-10-28,VHE,G,VHE03,00:00,24:00,Limitaciones en el suministro de gas
2005-10-28,COBEE,G,KEN01,00:00,24:00,Limitaciones en el suministro de gas
2005-10-27,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-10-27,VHE,G,VHE03,00:00,24:00,Limitaciones en el suministro de gas
2005-10-27,COBEE,G,KEN02,00:00,24:00,Limitaciones en el suministro de gas
2005-10-26,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-10-26,VHE,G,VHE03,00:00,24:00,Limitaciones en el suministro de gas
2005-10-26,COBEE,G,KEN02,00:00,24:00,Limitaciones en el suministro de gas
2005-10-25,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-10-25,VHE,G,VHE03,00:00,24:00,Limitaciones en el suministro de gas
2005-10-25,COBEE,G,KEN01,00:00,24:00,Limitaciones en el suministro de gas
2005-10-24,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-10-24,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-10-24,COBEE,G,KEN01,00:00,24:00,Limitaciones en el suministro de gas
2005-10-23,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-10-23,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-10-23,COBEE,G,KEN01,00:00,24:00,Limitaciones en el suministro de gas
2005-10-22,VHE,G,VHE03,00:00,24:00,Limitaciones en el suministro de gas
2005-10-22,COBEE,G,KEN01,00:00,24:00,Limitaciones en el suministro de gas
2005-10-22,VHE,G,VHE04,00:00,24:00,Limitaciones en el suministro de gas
2005-10-21,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
